Description,Price Was,Price,Percent Off,Rating,Review Count,URL
OtterBox SYMMETRY SERIES+ Case with MagSafe for iPhone 14 Pro - BLACK,,$69.95,0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/OtterBox-SYMMETRY-Case-MagSafe-iPhone/dp/B0B7QK6YCJ/ref=sr_1_42?keywords=iPhone+14&qid=1677007651&sr=8-42
"VAKAY iPhone Case iPhone 14 Compatible iPhone 13 antichoc, Hybride: Solide et Silicone Double Protection Tough - Bella Portrait Design Nude Bleu Pastel Rose Elegant",,$23.99,0%,No reviews,0,https://www.amazon.ca/VAKAY-iPhone-Compatible-antichoc-Hybride/dp/B0BQKQXM42/ref=sr_1_43?keywords=iPhone+14&qid=1677007651&sr=8-43
"GUAGUA Case for iPhone 14, iPhone 14 Phone Cases Cute Heart Pattern with Wrist Strap Camera Protection Soft Silicone Cover for Women Girls Shockproof Protection Case for iPhone 14 6.1"" Black",,$13.49,0%,No reviews,0,https://www.amazon.ca/GUAGUA-Pattern-Protection-Silicone-Shockproof/dp/B0BTD4SY1R/ref=sr_1_44?keywords=iPhone+14&qid=1677007651&sr=8-44
"ORNARTO Compatible with iPhone 14 Case 6.1, Slim Liquid Silicone 3 Layers Full Covered Soft Gel Rubber Case Protective Cover 6.1 inch-Pastel Lilac",,$16.99,0%,4.6 out of 5 stars,4.6,https://www.amazon.ca/ORNARTO-Compatible-iPhone-14-inch-Pastel/dp/B0B972533X/ref=sr_1_45?keywords=iPhone+14&qid=1677007651&sr=8-45
"iPhone 14 Case, GaoBao Square Case iPhone 14 Edge Plating with Love Heart Soft TPU Bumper Shockproof Camera Lens Protective Cute Slim Luxury Women Girl Cases Cover for iPhone 14 6.1'', Black",,$13.79,0%,5.0 out of 5 stars,5.0,https://www.amazon.ca/iPhone-GaoBao-Plating-Shockproof-Protective/dp/B0BRMB2DXG/ref=sr_1_46?keywords=iPhone+14&qid=1677007651&sr=8-46
"Seacosmo iPhone 14 Pro Max Case, [Tempered Glass Screen Protector+Camera Lens Protector] Full Body Clear Bumper iPhone 14 Pro Max Phone Case Shockproof Protective Cover for iPhone 14 Pro Max 6.7''",,$20.99,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Seacosmo-Tempered-Protector-Shockproof-Protective/dp/B0B9XTBX91/ref=sr_1_47?keywords=iPhone+14&qid=1677007651&sr=8-47
"[3 Pack] EGV 3 Pack Screen Protector for iPhone 14 Pro 6.1 inch, Tempered Glass HD Screen, Scratch Resistant, Case Friendly, Film Easy Installation Tray, Sensitive Touch, Bubble Free",$9.99,$8.49,-15.02%,4.6 out of 5 stars,4.6,https://www.amazon.ca/EGV-Protector-Resistant-Installation-Sensitive/dp/B0B5LBDX5V/ref=sr_1_48?keywords=iPhone+14&qid=1677007651&sr=8-48
"ESR Armorite Screen Protector Compatible with iPhone 14 Pro Max, Ultra-Tough Tempered-Glass, Easy Alignment Frame, 2 Pack",$27.99,$18.39,-34.3%,4.8 out of 5 stars,4.8,https://www.amazon.ca/ESR-iPhone-Pro-Max-Tempered-Glass/dp/B0B7D5QD1Z/ref=sr_1_49?keywords=iPhone+14&qid=1677007651&sr=8-49
"DOMAVER iPhone 14 Pro Max Case 6.7 Inch Clear Crystal Glitter Sparkle Shiny Bling iPhone Cover for Girls Women Thin Lightweight Anti-Slip Shockproof Protective Cell Phone Cases, Transparent",$12.39,$10.99,-11.3%,3.9 out of 5 stars,3.9,https://www.amazon.ca/DOMAVER-Lightweight-Shockproof-Protective-Transparent/dp/B0B7W4GH5V/ref=sr_1_50?keywords=iPhone+14&qid=1677007651&sr=8-50
Nvollnoe for iPhone 14 Case with Sliding Camera Cover and Card Holder Heavy Duty Protective iPhone 14 Case with Kickstand Ring Magnetic Phone Case for iPhone 14(Blue),,$17.99,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Nvollnoe-Sliding-Protective-Kickstand-Magnetic/dp/B0B7HDGRWT/ref=sr_1_51?keywords=iPhone+14&qid=1677007651&sr=8-51
